peak	gene	Pair	Peak2Gene
chr1-18934215-18939335	IFFO2	chr1-18934215-18939335_IFFO2	TRUE
chr5-40677946-40690358	TTC33	chr5-40677946-40690358_TTC33	TRUE
chr4-184781698-184783610	ACSL1	chr4-184781698-184783610_ACSL1	TRUE
chr2-68383089-68389462	PLEK	chr2-68383089-68389462_PLEK	TRUE
chr1-207318138-207338018	CD55	chr1-207318138-207338018_CD55	TRUE
chr17-58657197-58660181	TEX14	chr17-58657197-58660181_TEX14	TRUE
chr19-10268209-10275252	ICAM1	chr19-10268209-10275252_ICAM1	TRUE
chr1-89310050-89313036	GBP5	chr1-89310050-89313036_GBP5	TRUE
chr6-33008256-33010092	HLA-DPB1	chr6-33008256-33010092_HLA-DPB1	TRUE
chr6-33027480-33030628	HLA-DMB	chr6-33027480-33030628_HLA-DMB	TRUE
chr1-9557611-9560447	SLC25A33	chr1-9557611-9560447_SLC25A33	TRUE
chr2-172494981-172497294	PDK1	chr2-172494981-172497294_PDK1	TRUE
chr7-50345399-50369926	IKZF1	chr7-50345399-50369926_IKZF1	TRUE
chr2-172460255-172464191	PDK1	chr2-172460255-172464191_PDK1	TRUE
chr20-32533924-32543253	NOL4L	chr20-32533924-32543253_NOL4L	TRUE
chr15-88644580-88653960	ISG20	chr15-88644580-88653960_ISG20	TRUE
chr2-20445406-20451869	RHOB	chr2-20445406-20451869_RHOB	TRUE
chr1-84143772-84145675	PRKACB	chr1-84143772-84145675_PRKACB	TRUE
chr21-41373201-41376945	MX1	chr21-41373201-41376945_MX1	TRUE
chr1-244845606-244865864	HNRNPU	chr1-244845606-244865864_HNRNPU	TRUE
chr10-69085468-69109374	SRGN	chr10-69085468-69109374_SRGN	TRUE
chr21-41459830-41461008	MX1	chr21-41459830-41461008_MX1	TRUE
chr16-85922235-85925031	IRF8	chr16-85922235-85925031_IRF8	TRUE
chr5-157252432-157254101	CYFIP2	chr5-157252432-157254101_CYFIP2	TRUE
chr1-32272247-32277470	HDAC1	chr1-32272247-32277470_HDAC1	TRUE
chr19-16363226-16378669	KLF2	chr19-16363226-16378669_KLF2	TRUE
chr13-99285073-99308457	GPR183	chr13-99285073-99308457_GPR183	TRUE
chr17-4001953-4006554	P2RX1	chr17-4001953-4006554_P2RX1	TRUE
chr18-24009367-24013133	TTC39C	chr18-24009367-24013133_TTC39C	TRUE
chr5-150385442-150415310	TCOF1	chr5-150385442-150415310_TCOF1	TRUE
chr2-30229829-30240751	LBH	chr2-30229829-30240751_LBH	TRUE
chr10-6542577-6544176	PRKCQ	chr10-6542577-6544176_PRKCQ	TRUE
chr6-33071003-33074177	HLA-DPB1	chr6-33071003-33074177_HLA-DPB1	TRUE
chr21-41418695-41421172	MX2	chr21-41418695-41421172_MX2	TRUE
chr1-212595362-212597177	ATF3	chr1-212595362-212597177_ATF3	TRUE
chr22-35305582-35316742	TOM1	chr22-35305582-35316742_TOM1	TRUE
chr22-41671242-41675684	SNU13	chr22-41671242-41675684_SNU13	TRUE
chr14-35331619-35334871	NFKBIA	chr14-35331619-35334871_NFKBIA	TRUE
chr19-53536945-53542383	ZNF331	chr19-53536945-53542383_ZNF331	TRUE
chr2-30144160-30169627	YPEL5	chr2-30144160-30169627_YPEL5	TRUE
chr5-132462754-132502251	IRF1	chr5-132462754-132502251_IRF1	TRUE
chr10-97368556-97375448	RRP12	chr10-97368556-97375448_RRP12	TRUE
chr4-184792675-184793829	ACSL1	chr4-184792675-184793829_ACSL1	TRUE
chr5-32276125-32277327	MTMR12	chr5-32276125-32277327_MTMR12	TRUE
chr7-43645644-43652414	STK17A	chr7-43645644-43652414_STK17A	TRUE
chr18-46103690-46105171	C18orf25	chr18-46103690-46105171_C18orf25	TRUE
chr10-17205663-17207863	VIM	chr10-17205663-17207863_VIM	TRUE
chr22-39935038-39944855	GRAP2	chr22-39935038-39944855_GRAP2	TRUE
chr21-14533004-14535760	SAMSN1	chr21-14533004-14535760_SAMSN1	TRUE
chr11-118434093-118439206	CD3G	chr11-118434093-118439206_CD3G	TRUE
chr6-159680969-159695839	SOD2	chr6-159680969-159695839_SOD2	TRUE
chr6-32634078-32640587	HLA-DRB1	chr6-32634078-32640587_HLA-DRB1	TRUE
chr14-99223600-99254668	BCL11B	chr14-99223600-99254668_BCL11B	TRUE
chr7-106256272-106286624	NAMPT	chr7-106256272-106286624_NAMPT	TRUE
chr8-124750656-124752545	MTSS1	chr8-124750656-124752545_MTSS1	TRUE
chr21-41459830-41461008	MX2	chr21-41459830-41461008_MX2	TRUE
chr16-3072167-3077651	IL32	chr16-3072167-3077651_IL32	TRUE
chr6-32663371-32669762	HLA-DRB1	chr6-32663371-32669762_HLA-DRB1	TRUE
chr3-71485625-71494791	FOXP1	chr3-71485625-71494791_FOXP1	TRUE
chr22-44067261-44069581	PARVB	chr22-44067261-44069581_PARVB	TRUE
chr12-7914787-7919897	SLC2A3	chr12-7914787-7919897_SLC2A3	TRUE
chr5-151195471-151197275	ANXA6	chr5-151195471-151197275_ANXA6	TRUE
chr8-37854518-37858601	RAB11FIP1	chr8-37854518-37858601_RAB11FIP1	TRUE
chr1-89124476-89130578	GBP2	chr1-89124476-89130578_GBP2	TRUE
chr6-158792584-158796850	EZR	chr6-158792584-158796850_EZR	TRUE
chr3-172591250-172593538	TNFSF10	chr3-172591250-172593538_TNFSF10	TRUE
chr12-6850059-6853731	C12orf57	chr12-6850059-6853731_C12orf57	TRUE
chr6-41280331-41287503	TREM1	chr6-41280331-41287503_TREM1	TRUE
chr5-140261202-140262471	HBEGF	chr5-140261202-140262471_HBEGF	TRUE
chr2-106093867-106098316	UXS1	chr2-106093867-106098316_UXS1	TRUE
chr3-16311512-16319790	OXNAD1	chr3-16311512-16319790_OXNAD1	TRUE
chr12-9646804-9652494	CLEC2D	chr12-9646804-9652494_CLEC2D	TRUE
chr12-52048456-52064713	NR4A1	chr12-52048456-52064713_NR4A1	TRUE
chr5-80180701-80185479	SERINC5	chr5-80180701-80185479_SERINC5	TRUE
chr2-157426512-157445564	CYTIP	chr2-157426512-157445564_CYTIP	TRUE
chr6-32663371-32669762	HLA-DQA1	chr6-32663371-32669762_HLA-DQA1	TRUE
chr9-128361127-128362726	SLC27A4	chr9-128361127-128362726_SLC27A4	TRUE
chr12-27179531-27181410	STK38L	chr12-27179531-27181410_STK38L	TRUE
chr1-226721241-226741499	ITPKB	chr1-226721241-226741499_ITPKB	TRUE
chr4-184810540-184815887	ACSL1	chr4-184810540-184815887_ACSL1	TRUE
chr2-108589712-108592035	LIMS1	chr2-108589712-108592035_LIMS1	TRUE
chr7-50370851-50375343	IKZF1	chr7-50370851-50375343_IKZF1	TRUE
chr16-85076808-85078533	KIAA0513	chr16-85076808-85078533_KIAA0513	FALSE
chr12-121221949-121225357	P2RX4	chr12-121221949-121225357_P2RX4	FALSE
chr9-99110738-99114055	TGFBR1	chr9-99110738-99114055_TGFBR1	FALSE
chr17-7703486-7706237	TP53	chr17-7703486-7706237_TP53	FALSE
chr7-143205581-143206469	GSTK1	chr7-143205581-143206469_GSTK1	FALSE
chr22-23785965-23788157	SMARCB1	chr22-23785965-23788157_SMARCB1	FALSE
chr3-100044265-100044982	FILIP1L	chr3-100044265-100044982_FILIP1L	FALSE
chr17-4879513-4880181	PFN1	chr17-4879513-4880181_PFN1	FALSE
chr7-43571945-43573237	STK17A	chr7-43571945-43573237_STK17A	FALSE
chr18-2855514-2859350	EMILIN2	chr18-2855514-2859350_EMILIN2	FALSE
chr8-143965159-143967156	PLEC	chr8-143965159-143967156_PLEC	FALSE
chr17-42984855-42986284	RPL27	chr17-42984855-42986284_RPL27	FALSE
chr22-21623716-21627351	UBE2L3	chr22-21623716-21627351_UBE2L3	FALSE
chr19-39349501-39352193	SAMD4B	chr19-39349501-39352193_SAMD4B	FALSE
chr19-7595353-7596983	PNPLA6	chr19-7595353-7596983_PNPLA6	FALSE
chr9-34627792-34629817	DCTN3	chr9-34627792-34629817_DCTN3	FALSE
chr18-23573546-23575412	NPC1	chr18-23573546-23575412_NPC1	FALSE
chr16-2985505-2988180	IL32	chr16-2985505-2988180_IL32	FALSE
chr5-141701534-141703648	DIAPH1	chr5-141701534-141703648_DIAPH1	FALSE
chr7-76294487-76295188	HSPB1	chr7-76294487-76295188_HSPB1	FALSE
chr19-2170261-2172039	AP3D1	chr19-2170261-2172039_AP3D1	FALSE
chr3-170866796-170867895	RPL22L1	chr3-170866796-170867895_RPL22L1	FALSE
chr12-53484851-53488238	PCBP2	chr12-53484851-53488238_PCBP2	FALSE
chr18-49476200-49477553	RPL17	chr18-49476200-49477553_RPL17	FALSE
chr14-23093771-23096986	C14orf119	chr14-23093771-23096986_C14orf119	FALSE
chr11-75810186-75811453	UVRAG	chr11-75810186-75811453_UVRAG	FALSE
chr5-178211190-178216624	HNRNPAB	chr5-178211190-178216624_HNRNPAB	FALSE
chr1-167562655-167565146	CD247	chr1-167562655-167565146_CD247	FALSE
chr2-27715039-27716932	MRPL33	chr2-27715039-27716932_MRPL33	FALSE
chr21-44285248-44287768	PFKL	chr21-44285248-44287768_PFKL	FALSE
chr12-64560401-64561431	RASSF3	chr12-64560401-64561431_RASSF3	FALSE
chr19-45170527-45173901	TRAPPC6A	chr19-45170527-45173901_TRAPPC6A	FALSE
chr17-82222550-82223568	CCDC57	chr17-82222550-82223568_CCDC57	FALSE
chr1-235077116-235078208	TOMM20	chr1-235077116-235078208_TOMM20	FALSE
chr2-85516630-85517208	RNF181	chr2-85516630-85517208_RNF181	FALSE
chr2-96202372-96205567	STARD7	chr2-96202372-96205567_STARD7	FALSE
chr16-21640377-21641176	IGSF6	chr16-21640377-21641176_IGSF6	FALSE
chr19-46845907-46846781	ARHGAP35	chr19-46845907-46846781_ARHGAP35	FALSE
chr3-42580260-42583439	SS18L2	chr3-42580260-42583439_SS18L2	FALSE
chr11-65061140-65062401	VPS51	chr11-65061140-65062401_VPS51	FALSE
chr14-81033750-81034386	CEP128	chr14-81033750-81034386_CEP128	FALSE
chr9-127719096-127723679	FPGS	chr9-127719096-127723679_FPGS	FALSE
chr14-75147147-75148250	MLH3	chr14-75147147-75148250_MLH3	FALSE
chr22-21646257-21647332	SDF2L1	chr22-21646257-21647332_SDF2L1	FALSE
chr1-167612324-167613209	CD247	chr1-167612324-167613209_CD247	FALSE
chr12-93433847-93435453	UBE2N	chr12-93433847-93435453_UBE2N	FALSE
chr15-43127868-43129178	TMEM62	chr15-43127868-43129178_TMEM62	FALSE
chr2-65040444-65041113	CEP68	chr2-65040444-65041113_CEP68	FALSE
chr20-63580511-63581558	HELZ2	chr20-63580511-63581558_HELZ2	FALSE
chr22-42380893-42382276	TCF20	chr22-42380893-42382276_TCF20	FALSE
chr9-128946105-128949049	NUP188	chr9-128946105-128949049_NUP188	FALSE
chr13-30718599-30719736	ALOX5AP	chr13-30718599-30719736_ALOX5AP	FALSE
chr11-68470222-68472621	PPP6R3	chr11-68470222-68472621_PPP6R3	FALSE
chr7-2501847-2505933	LFNG	chr7-2501847-2505933_LFNG	FALSE
chr17-43251474-43251941	NBR1	chr17-43251474-43251941_NBR1	FALSE
chr16-30666388-30671100	FBRS	chr16-30666388-30671100_FBRS	FALSE
chr3-149095324-149096062	HLTF	chr3-149095324-149096062_HLTF	FALSE
chr1-169604399-169605730	C1orf112	chr1-169604399-169605730_C1orf112	FALSE
chr2-85413286-85414471	CAPG	chr2-85413286-85414471_CAPG	FALSE
chr20-49244880-49248957	STAU1	chr20-49244880-49248957_STAU1	FALSE
chr10-68406276-68408065	RUFY2	chr10-68406276-68408065_RUFY2	FALSE
chr7-128342924-128344577	RBM28	chr7-128342924-128344577_RBM28	FALSE
chr4-25856672-25857816	SEL1L3	chr4-25856672-25857816_SEL1L3	FALSE
chr11-65388398-65391378	SLC25A45	chr11-65388398-65391378_SLC25A45	FALSE
chr16-4377697-4389582	PAM16	chr16-4377697-4389582_PAM16	FALSE
chr19-7616470-7621755	PET100	chr19-7616470-7621755_PET100	FALSE
chr16-66607855-66609447	CMTM3	chr16-66607855-66609447_CMTM3	FALSE
chr14-34538147-34540734	EAPP	chr14-34538147-34540734_EAPP	FALSE
chr19-2694397-2695954	GNG7	chr19-2694397-2695954_GNG7	FALSE
chr8-100157515-100158946	POLR2K	chr8-100157515-100158946_POLR2K	FALSE
chr3-15202493-15203333	CAPN7	chr3-15202493-15203333_CAPN7	FALSE
chr12-6777639-6780682	MLF2	chr12-6777639-6780682_MLF2	FALSE
chr7-66985334-66987729	TYW1	chr7-66985334-66987729_TYW1	FALSE
chr5-139296909-139302265	SIL1	chr5-139296909-139302265_SIL1	FALSE
chr14-74698316-74699102	FCF1	chr14-74698316-74699102_FCF1	FALSE
chr3-195914369-195915665	TNK2	chr3-195914369-195915665_TNK2	FALSE
chr17-63829913-63833640	SMARCD2	chr17-63829913-63833640_SMARCD2	FALSE
chr5-138529201-138531926	CTNNA1	chr5-138529201-138531926_CTNNA1	FALSE
chr5-150453463-150454951	RPS14	chr5-150453463-150454951_RPS14	FALSE
chr1-161139492-161140248	NDUFS2	chr1-161139492-161140248_NDUFS2	FALSE
chr14-50115478-50117305	VCPKMT	chr14-50115478-50117305_VCPKMT	FALSE
chr17-63829913-63833640	PSMC5	chr17-63829913-63833640_PSMC5	FALSE
chr16-689453-691353	STUB1	chr16-689453-691353_STUB1	FALSE
chr5-126694932-126695535	PHAX	chr5-126694932-126695535_PHAX	FALSE
chr19-19507534-19512001	NDUFA13	chr19-19507534-19512001_NDUFA13	FALSE
chr13-50891949-50894467	RNASEH2B	chr13-50891949-50894467_RNASEH2B	FALSE
chr12-121489971-121491671	RNF34	chr12-121489971-121491671_RNF34	FALSE
chr6-142867325-142868543	HIVEP2	chr6-142867325-142868543_HIVEP2	FALSE
chr17-68517434-68519535	PRKAR1A	chr17-68517434-68519535_PRKAR1A	FALSE
chr5-172757528-172759144	DUSP1	chr5-172757528-172759144_DUSP1	FALSE
chr5-179775882-179776819	MAML1	chr5-179775882-179776819_MAML1	FALSE
chr12-130878186-130880995	RAN	chr12-130878186-130880995_RAN	FALSE
chr2-101298762-101301661	RNF149	chr2-101298762-101301661_RNF149	FALSE
chr12-123241729-123242887	C12orf65	chr12-123241729-123242887_C12orf65	FALSE
chr12-110003132-110005987	GIT2	chr12-110003132-110005987_GIT2	FALSE
chr19-18931299-18933390	UPF1	chr19-18931299-18933390_UPF1	FALSE
chr11-17285259-17287554	PIK3C2A	chr11-17285259-17287554_PIK3C2A	FALSE
chr12-53481774-53484269	PCBP2	chr12-53481774-53484269_PCBP2	FALSE
chr8-98947207-98949580	STK3	chr8-98947207-98949580_STK3	FALSE
chr19-38655111-38658241	ACTN4	chr19-38655111-38658241_ACTN4	FALSE
chr11-118939675-118941155	BCL9L	chr11-118939675-118941155_BCL9L	FALSE
chr19-35146897-35147501	FXYD5	chr19-35146897-35147501_FXYD5	FALSE
chr19-16133999-16136044	TPM4	chr19-16133999-16136044_TPM4	FALSE
chr1-151251199-151252461	PSMD4	chr1-151251199-151252461_PSMD4	FALSE
chr19-4388886-4391720	SH3GL1	chr19-4388886-4391720_SH3GL1	FALSE
chr10-119198001-119199837	GRK5	chr10-119198001-119199837_GRK5	FALSE
chr19-40875127-40876935	EGLN2	chr19-40875127-40876935_EGLN2	FALSE
chr10-124461162-124462671	LHPP	chr10-124461162-124462671_LHPP	FALSE
chr7-103343464-103345317	PSMC2	chr7-103343464-103345317_PSMC2	FALSE
chr17-67374308-67375257	PSMD12	chr17-67374308-67375257_PSMD12	FALSE
chr7-150784019-150786631	GIMAP5	chr7-150784019-150786631_GIMAP5	FALSE
chr9-75026830-75029470	CARNMT1	chr9-75026830-75029470_CARNMT1	FALSE
chr4-119299042-119301491	C4orf3	chr4-119299042-119301491_C4orf3	FALSE
chr14-75140666-75142582	NEK9	chr14-75140666-75142582_NEK9	FALSE
chr10-99685091-99686131	CUTC	chr10-99685091-99686131_CUTC	FALSE
chr8-143917810-143923912	PARP10	chr8-143917810-143923912_PARP10	FALSE
chr4-39469259-39470139	RPL9	chr4-39469259-39470139_RPL9	FALSE
chr3-12981838-12984817	IQSEC1	chr3-12981838-12984817_IQSEC1	FALSE
chr17-39737440-39741298	MIEN1	chr17-39737440-39741298_MIEN1	FALSE
chr14-34547638-34551910	EAPP	chr14-34547638-34551910_EAPP	FALSE
chr3-69050542-69053222	TMF1	chr3-69050542-69053222_TMF1	FALSE
chr10-124520584-124521282	LHPP	chr10-124520584-124521282_LHPP	FALSE
chr19-38887124-38889817	NFKBIB	chr19-38887124-38889817_NFKBIB	FALSE
chr22-36065565-36066655	APOL3	chr22-36065565-36066655_APOL3	FALSE
chr2-207632515-207633651	METTL21A	chr2-207632515-207633651_METTL21A	FALSE
chr15-63276567-63278646	APH1B	chr15-63276567-63278646_APH1B	FALSE
chr8-43101800-43103754	FNTA	chr8-43101800-43103754_FNTA	FALSE
chr22-37425648-37428008	MFNG	chr22-37425648-37428008_MFNG	FALSE
chr1-154264427-154267771	HAX1	chr1-154264427-154267771_HAX1	FALSE
chr7-99488850-99494504	ZNF394	chr7-99488850-99494504_ZNF394	FALSE
chr6-290377-293961	DUSP22	chr6-290377-293961_DUSP22	FALSE
chr11-118219389-118220897	JAML	chr11-118219389-118220897_JAML	FALSE
chr2-95991133-95993224	ANKRD36C	chr2-95991133-95993224_ANKRD36C	FALSE
chr17-76130430-76133278	EXOC7	chr17-76130430-76133278_EXOC7	FALSE
chr2-96221046-96221560	SNRNP200	chr2-96221046-96221560_SNRNP200	FALSE
chr3-149969699-149971972	ANKUB1	chr3-149969699-149971972_ANKUB1	FALSE
chr17-43013505-43016557	IFI35	chr17-43013505-43016557_IFI35	FALSE
chr17-7158211-7159702	CTDNEP1	chr17-7158211-7159702_CTDNEP1	FALSE
chr15-89321641-89324176	POLG	chr15-89321641-89324176_POLG	FALSE
chr11-45926091-45932398	PEX16	chr11-45926091-45932398_PEX16	FALSE
chr11-1546194-1549839	MOB2	chr11-1546194-1549839_MOB2	FALSE
chr19-35166824-35168837	FXYD5	chr19-35166824-35168837_FXYD5	FALSE
chr19-49420364-49426452	FCGRT	chr19-49420364-49426452_FCGRT	FALSE
chr11-18320368-18324924	GTF2H1	chr11-18320368-18324924_GTF2H1	FALSE
chr1-146001090-146001986	TXNIP	chr1-146001090-146001986_TXNIP	FALSE
chr1-151593645-151594727	SNX27	chr1-151593645-151594727_SNX27	FALSE
chr14-52692182-52692881	PSMC6	chr14-52692182-52692881_PSMC6	FALSE
chr19-45527935-45529784	FOSB	chr19-45527935-45529784_FOSB	FALSE
chr17-32352719-32356100	ZNF207	chr17-32352719-32356100_ZNF207	FALSE
chr5-77629349-77631531	WDR41	chr5-77629349-77631531_WDR41	FALSE
